query_id,relevance_type,answer_id,relevance,answer_n,query_text,answer_text
1964316,U0,1964316_5,1.0,5,"'What are you talking about when you say ""weed""?'",Weed could mean the bad thing that grow in ur graden or back and front yard. Or it could mean the drug.
1964316,Q0,1964316_3,1.0,3,"'What are you talking about when you say ""weed""?'",marijuana. and lots of it :)
1964316,Q0,1964316_2,1.0,2,"'What are you talking about when you say ""weed""?'",It could mean. 1) weeds outside on the lawn. 2) the drug
1964316,Q0,1964316_0,1.0,0,"'What are you talking about when you say ""weed""?'",Its the slang for marijuana other slangs include. . http://en.wikipedia.org/wiki/List_of_marijuana_slang_terms
1964316,Q0,1964316_1,0.6666666666666666,1,"'What are you talking about when you say ""weed""?'",weed is marijuana a lovely little plant that you smoke (some eat or drink). it makes people happy
1964316,Q0,1964316_4,0.6666666666666666,4,"'What are you talking about when you say ""weed""?'","It a bad drug, called marijuana. Don't ever try it, its horrable, it will make you hungry and thirsty at the same time. It will make you forget things and make you think of crazy question's and idea's. It is also very addicting. The only thing worse would be alcohol!!"
2418598,U0,2418598_0,1.0,0,'Why do people have different levels of wisdom?',"a lot of studies have shown that overal brain size isnt as important as complexity and size of the outer layer of the brain, the crerebral cortex.. it is pretty much known that this part of the brain carries out the complex ""thought"" and ability to put things together that would eventually add up to be wisdom. another huge factor, probably more important, is live experience.. not just the top layer, obvious things, but the underlying developmental processes that every human goes through. there are tons of things that shape a persons mind, ability, level of conciousness, clarity, etc"
2418598,Q0,2418598_9,1.0,9,'Why do people have different levels of wisdom?',"life experiences shape wisdom, but more information grows the brain, plus some people just have big heads =)"
2418598,Q0,2418598_8,0.6666666666666666,8,'Why do people have different levels of wisdom?',"it is not HOW BIG your brain is (since size of human brain is almost the same), it is HOW MUCH you use it. . how we brought up and how we're educated means a lot in shaping a person's thinking. if someone is learning by SPOON-FEEDING him with knowledge, he only know what's being fed to him. if he was trained to think a lot and try a lot, the accumulation of his experiences will teach him to be wiser. . it is all about how often we EXERCISE our brains."
2418598,Q0,2418598_1,0.6666666666666666,1,'Why do people have different levels of wisdom?',experiance
2418598,Q0,2418598_3,1.0,3,'Why do people have different levels of wisdom?',"The morphology of the brain is mostly the same. But your preception, inteligence, memory, everything really are affected by the neuaral connections inside the brain. The connections form according to need and use and are uniqe to each individual: they depend on your personal expirience and so on."
2418598,Q0,2418598_2,0.6666666666666666,2,'Why do people have different levels of wisdom?',"Can we talk about IQ? Partially due to family genes i believe.. But mostly still depends on the environment and experience of the child.. This made me think about another question. Do u guys think that brain size do has effect on the itelligence? According to the record, Genius Einstein has a bigger brain size than normal people.."
2418598,Q0,2418598_5,0.6666666666666666,5,'Why do people have different levels of wisdom?',some people are wiser than others .
2418598,Q0,2418598_4,0.6666666666666666,4,'Why do people have different levels of wisdom?',"well, there was a big debate about that within the last year with the president of Harvard, but...I don't want to get into that.... . I think Sandra Cisneros said it best ""We are the Sum of Our Experiences"".  This is where I adapt my view from, our wisdom varies because of the things we have experienced."
2418598,E0,2418598_7,0.3333333333333333,7,'Why do people have different levels of wisdom?',"Knowledge is just accretion of data...Wisdom is more akin to intuition.... .   As you seem interested in the physiognomy of the brain-we are speaking more of the linking ""dendrites"" organized well and orchestrating...rather than the sheer volume of neurons.... .   Observe the brain activity of a symphony conductor leading a composition he has composed...he will be using more of his brain and more efficiently.... .   Yet there are more subtle levels such as ""body awareness""...not all thinking...and more precisely ""intuition"" is bound to the activity of the brain alone..."
2418598,Q0,2418598_6,0.6666666666666666,6,'Why do people have different levels of wisdom?',"education, enviroment, life experiences, who you hang around --- hang out with smart people and you will have more wisdom."
2418598,Q0,2418598_10,0.0,10,'Why do people have different levels of wisdom?',WHY DO YOU ASK SUCH NONSENSE!!!!!!!!!!!!!!!????????. . . o_o
1167882,U0,1167882_0,1.0,0,'What are the different kinds of bad things people do and why do they do them?',"Sin is the affect of an earlier problem.Sin occurs mainly after temptation has been acted upon by our spirit and body.Sin is something that if not repented of will lead to death not in the bodily sense alone but spiritual as well.""The second death"" as it is called is what punishment is aquired for the acummulation of unrepented sin.Actually if a person is baptized into Christ and has repented and living the Christian life as best they can there will still be sin.Thing is we then have the privledge to ask forgiveness of sins as long as we try not to sin which is what repent actually broken down means.To turn from sin.Sin actually is no worse than another sin for instance Christ only really spoke of one and that is blasphemy and it is the worst of all.Sexual sin is a biggy but only because when you are baptized into Christ's body then you have the holy spirit within you.So having sex you are involving the holy spirit which lives inside of you which is definetly not good.Sin for the most part is equal.For instance some so called christians say that homosexuality is worse than other sins but in reality if I looked upon a woman sexually it is no worse than if a man looks at another man that way or vice versa.Just remember that sin is an act not something we are born with as calvinists and catholics believe.A baby that cannot walk talk or have sex cannot sin!Therefore it doesnt need baptism as a baby as they say besides a baby cannot confess Christ as Lord nor repent of sins for it has none.Hope this helps"
1167882,E0,1167882_8,0.6666666666666666,8,'What are the different kinds of bad things people do and why do they do them?',"the only sin that will get you into hell, is rejecting Jesus Christ as your Lord and savior.. . All the other sins were dealt with at the cross, so you dont need to worry about them if youve accepted Jesus as Lord. Coz the bible, will show you how to overcome all other sin.. . but as a non believer, the wages of sin is eventually death, and eternal hell. Coz they havent repented of the only sin that needs to be dealt with for eternal life.. . its a long long story, ask God, read the word of God. you will find your answers"
1167882,Q0,1167882_6,0.3333333333333333,6,'What are the different kinds of bad things people do and why do they do them?',"the idea of sin is relative to what you think is right and wrong.  therefore, there is no such thing as sin."
1167882,E0,1167882_5,1.0,5,'What are the different kinds of bad things people do and why do they do them?',Sorry. but SIN does not exist.. so there are no difference between one kind of a thing That Does Not Exist and another thing That Does Not Exist
1167882,Q0,1167882_4,0.6666666666666666,4,'What are the different kinds of bad things people do and why do they do them?',"Well there is the seven deadly sins...Murder, Lust, Greed, Gluttony, Stealing, Lying, and Christianity...The last three go together as Christianity is based on lies, and stealing,(in as much as the rituals and holidays they use were in practice BEFORE the birth of Christ)."
